track,feature,source_columns,feature_type,research_role,hwi_candidate,ml_candidate,target,status
awareness,hover_time_seconds,hover_time_ms,numeric,behavioural_proxy,True,True,False,planned
awareness,session_duration_minutes,session_duration_sec,numeric,behavioural_proxy,True,True,False,planned
awareness,hover_session_ratio,hover_time_ms|session_duration_sec,numeric,interaction_proxy,True,True,False,planned
awareness,clicked_link,clicked_link,binary,candidate_outcome,False,False,True,requires_label_confirmation
awareness,reported_binary,reported_email,binary,security_response_proxy,True,True,False,requires_timing_confirmation
awareness,received_hour,email_received_time,numeric,context,False,True,False,planned
awareness,received_day_of_week,email_received_time,categorical,context,False,True,False,planned
awareness,subject_urgency_count,email_subject,numeric,urgency_proxy,True,True,False,planned
awareness,subject_authority_count,email_subject,numeric,authority_proxy,True,True,False,planned
email_common,character_count,combined_text,numeric,text_structure,False,True,False,planned
email_common,word_count,combined_text,numeric,text_structure,False,True,False,planned
email_common,lexical_diversity,combined_text,numeric,linguistic_complexity,False,True,False,planned
email_common,url_count,combined_text,numeric,action_request,True,True,False,planned
email_common,urgency_keyword_count,combined_text,numeric,urgency_proxy,True,True,False,planned
email_common,authority_keyword_count,combined_text,numeric,authority_proxy,True,True,False,planned
email_common,fear_keyword_count,combined_text,numeric,fear_proxy,True,True,False,planned
email_common,financial_keyword_count,combined_text,numeric,financial_lure_proxy,True,True,False,planned
email_common,credential_keyword_count,combined_text,numeric,credential_request_proxy,True,True,False,planned
email_common,trust_keyword_count,combined_text,numeric,trust_manipulation_proxy,True,True,False,planned
email_common,call_to_action_count,combined_text,numeric,action_pressure,True,True,False,planned
phishing_urls,url_length,url,numeric,technical_threat,False,True,False,planned
phishing_urls,dot_count,url,numeric,technical_threat,False,True,False,planned
phishing_urls,digit_ratio,url,numeric,technical_threat,False,True,False,planned
phishing_urls,https_indicator,url,binary,technical_context,False,True,False,planned
phishing_urls,ip_address_indicator,url,binary,technical_threat,False,True,False,planned
phishing_urls,suspicious_keyword_count,url,numeric,technical_threat,False,True,False,planned
phishing_urls,url_entropy,url,numeric,obfuscation,False,True,False,planned
